ID Alumno,Taller 1,Taller 2,Taller 3,Actividad en línea 1,Actividad en línea 2,Actividad en línea 3,Prueba 1,Prueba 2,Prueba 3,Nota Presentación,Nota Examen,Nota Final
160002828,7,7,7,7,6.5,6.2,5.5,7,5.9,6.7,6.8,6.7
160002595,6.1,7,6.8,5,3.4,1.4,5,4.2,2,4,4.6,4.2
160003111,6.5,7,7,7,5.3,3.8,5.5,6.8,6.2,6.5,6.8,6.6
160000934,4.5,7,7,5.2,3.4,1.4,6.4,2.7,3.6,4.3,4.2,4.3
160003675,7,7,7,6.8,5,4.9,5.5,6.3,6.2,6.3,6.4,6.3
160000315,6.5,7,7,5.4,3.4,1.4,5.5,6.1,5.5,5.8,6.5,6.1
160001727,6,7,7,4,5.8,2.9,6.3,4.6,1.7,4.5,4.4,4.5
160000698,6,6.8,6.6,7,5.4,5.6,6.3,6.3,5.3,6,5.6,5.8
160001087,7,7,6.5,6,4.6,2.2,5.8,7,6.7,6.3,6.3,6.3
160001340,3.5,6.5,6.2,5,1.6,1.4,4.9,3.9,2.4,3.8,4.9,4.2
160003136,7,7,6.8,6.6,3.8,2.4,5.5,6.5,4,5.7,6.4,6
160003609,7,7,7,7,6.1,4.8,5.5,6,4.9,6,5.8,5.9
160003208,6.5,7,7,5.8,3.3,4.8,5.3,3.3,4.2,4.7,4.7,4.7
160001260,6.5,6.8,6,6.6,5.4,2.9,5.4,5,4.2,5.1,3.5,4.5
160002863,6.2,7,7,5.8,4.1,3.5,5.5,6.3,3.3,5.4,5.8,5.6
160000151,7,7,7,6.2,4.6,3.6,5.8,5.8,3.2,5.2,4.5,4.9
160002144,6.8,7,7,6.2,6.5,3.5,4.4,2.8,2.6,4.1,4,4.1
160001591,4,7,5.8,4.4,3.8,3,5.9,6,5.5,5.5,5.1,5.3
160000591,7,6.5,6.2,5.2,2.9,1.6,2.5,3,3.6,3.6,1.6,2.8
160002887,5.5,6.5,6.4,5.8,5.5,4,5.3,5.4,5.8,5.5,6.1,5.7
160002842,6.5,7,7,6.2,5,3.5,4.8,5.1,3.5,4.9,4.8,4.9
160000462,7,6,6.5,6.4,5.8,3.7,5.5,6.6,6.2,6.3,5,5.8
160000318,7,7,7,5,4.5,3,6,5.9,5.4,5.7,5.2,5.5
160000458,6.5,6,7,5.6,2.9,2.2,5.5,6.1,5.2,5.7,5.9,5.8
160000255,6.5,7,7,6,4.9,1.4,5.1,5.5,3.6,4.9,4.1,4.6
160002488,7,7,7,4.6,3.4,1.4,5.3,4,1.9,4.1,4,4.1
160002893,5.5,7,7,5.6,4.6,3.1,6.4,6.3,6,6,6.8,6.3
160003011,6,6.5,7,6.6,5,5.4,6.4,2.7,2.7,4.5,3.8,4.2
160001434,5.7,6.7,6.6,6.2,3.8,4.6,5.7,3.6,3.9,4.7,3.5,4.2
160003590,7,6.6,7,3.8,5.4,2.2,5.5,4,4.7,4.9,4,4.5
160003524,6.8,7,7,5.6,3.9,4.2,5.6,4,1.9,4.3,5.3,4.7
160002406,5.5,7,7,6.6,5.4,4.1,3.3,6.2,2.8,4.7,5.5,5
160003542,6.6,7,7,7,6.5,5,6.2,6.5,6.1,6.3,6.1,6.2
160003558,7,7,7,6.4,6.1,4.8,4.2,4.5,2.2,4.4,4.9,4.6
160000450,6.3,4.2,6,5.4,4.2,1.2,5.4,4.1,2.2,4,5.3,4.5
160003277,5.5,3.5,6.4,4,1.8,2.8,4,4.6,3.4,4,2.7,3.5
160003689,7,7,7,2.2,4.9,2,4.3,6,2.5,4.5,3.5,4.1
160000028,7,7,7,7,5.4,2,5.5,5.1,4.3,5.5,5.3,5.4
160003517,7,7,7,6.6,6.2,3.3,6,5.8,4.3,5.6,4,5
160000997,7,7,6.4,7,7,6.6,5.5,6.9,6.5,6.8,6.6,6.7
160002404,6.5,6.8,6,2,2.6,2.1,6,5.3,4,4.8,5.6,5.1
160000893,6.5,6.8,6,4,1.8,1.4,6.3,2.3,3.2,4,3,3.6
160001216,5.8,7,7,6.6,6.1,5,5.5,6.7,6.9,6.7,6,6.4
160002273,7,6.8,7,5.2,4.9,3.2,5.8,6.9,5.6,6,6.1,6
